record_id,equipment_code,equipment_name,recorded_time,time_type,detected_time,work_type,description,downtime_min
R001,MTR01,급수 펌프 모터,2026-06-28 09:10,입력시각,2026-06-28 08:40,점검,진동 증가 여부 확인 - 이상 없음,15
R002,MTR01,급수 펌프 모터,2026-07-03 14:00,작업시작,2026-07-03 13:50,예방정비,정기 그리스 보충,25
R003,MTR01,급수 펌프 모터,2026-07-15 12:00,작업시작,2026-07-15 11:20,고장수리,구동측 베어링 손상 확인 후 교체,180
R004,MTR01,급수 펌프 모터,2026-07-20 10:30,입력시각,2026-07-20 09:00,개조,인버터 제어 파라미터 변경,60
R005,PMP02,냉각수 펌프,2026-07-25 07:40,발견시각,2026-07-25 07:40,고장수리,메커니컬 씰 누유,95
R006,MTR01,급수 펌프 모터,2026-08-02 09:20,발견시각,2026-08-02 09:20,점검,베어링 온도 일시 상승 확인,20
R007,FAN03,배가스 팬,2026-08-09 16:00,작업시작,2026-08-09 15:30,예방정비,임펠러 세정 및 밸런싱,140
R008,MTR01,급수 펌프 모터,2026-08-18 09:40,입력시각,2026-08-18 08:55,고장수리,반부하측 베어링 박리 확인 후 교체,210
R009,MTR01,급수 펌프 모터,2026-08-26 13:00,작업시작,2026-08-26 12:50,예방정비,커플링 정렬 및 윤활,75
R010,PMP02,냉각수 펌프,2026-09-01 11:15,발견시각,2026-09-01 11:15,점검,유량 저하 원인 점검 - 배관 밸브 조정,35
R011,MTR01,급수 펌프 모터,2026-09-05 15:30,입력시각,2026-09-05 14:10,점검,진동 측정 및 청음 점검,25
R012,MTR01,급수 펌프 모터,2026-09-12 16:10,발견시각,2026-09-12 16:10,고장수리,구동측 베어링 피로 손상 확인 후 교체,195
R013,FAN03,배가스 팬,2026-09-18 08:30,작업시작,2026-09-18 08:10,고장수리,임펠러 부착물로 인한 과진동,160
R014,MTR01,급수 펌프 모터,2026-09-23 10:00,작업시작,2026-09-23 09:45,예방정비,정기 베어링 교체,150
